Title,Rating,Votes,Duration,Genre
Buddy,3.8,346,137.0,Action
Die Chaosschwestern und Pinguin Paul,5.7,67,100.0,Action
Memes & Nightmares,5.7,85,81.0,Action
Zebra,7.2,3200,164.0,Action
Camp Blood: Clown Shark,3.3,87,70.0,Action
Jorge da Capadócia,6.4,131,119.0,Action
Nintama Rantaro Dokutake Ninja-tai Saikyou no Gunshi,6.9,21,90.0,Action
Turbo,5.9,3600,155.0,Action
Captain Miller,6.5,8600,157.0,Action
Where Is Gilgamesh?,9.0,607,90.0,Action
Mazhai Pidikatha Manithan,4.5,424,133.0,Action
Game On,5.3,2300,140.0,Action
Hitler,5.2,305,128.0,Action
Por,5.1,615,154.0,Action
Prepare to Die,4.6,236,93.0,Action
Red vs. Blue: Restoration,5.6,137,85.0,Action
Tòkunbò,3.9,296,113.0,Action
Sucha Soorma,6.4,918,136.0,Action
Mummy Shark,2.0,178,66.0,Action
Buying Time,6.2,427,84.0,Action
Ship of the Damned,2.8,298,88.0,Action
Bull Shark 2,2.9,160,75.0,Action
Ghosts of Red Ridge,3.3,158,81.0,Action
Taklee Genesis x Worlds Collide,5.4,410,146.0,Action
Bastar: The Naxal Story,6.4,3300,124.0,Action
The Mick and the Trick,4.9,76,96.0,Action
Mission: Chapter 1,5.9,1700,144.0,Action
Ameena,6.4,19,107.0,Action
Spirit Riser,6.7,33,98.0,Action
Touchdown,6.8,14,78.0,Action
Speed 220,6.8,1000,114.0,Action
Echo 8,3.9,199,96.0,Action
The Desperate Chase,5.5,60,110.0,Action
The Omicron Killer,2.9,596,98.0,Action
Sayen: The Huntress,4.4,255,88.0,Action
Agastya - Chapter 1,6.9,597,168.0,Action
Matka,4.7,585,156.0,Action
Gangs of Godavari,5.0,909,165.0,Action
Ame no naka no yokujô,5.9,75,132.0,Action
Losing Lerato 2,9.1,34,96.0,Action
Kung Fu Games,3.3,381,98.0,Action
Diabel,5.1,250,108.0,Action
Shu Si Yi Bo,6.7,33,91.0,Action
Guy Manley: Super Spy,4.4,117,92.0,Action
Ballistic,2.2,161,95.0,Action
The Circuit 4: Faith Fighter,4.3,89,90.0,Action
I Am What I Am 2,7.5,206,134.0,Action
DNA,5.1,210,156.0,Action
The Last Chainsaw Massacre,3.7,42,75.0,Action
Vixen,5.2,136,88.0,Action
Young Lion of the West,5.2,108,93.0,Action
Sunfall,2.3,37,74.0,Action
Onsen shâku,5.9,32,70.0,Action
Panjab Files,8.2,20,117.0,Action
Mathu Vadalara 2,7.0,1700,139.0,Action
Clone Cops,6.9,201,96.0,Action
Saindhav,5.1,1600,138.0,Action
Blade of Fury,6.1,125,90.0,Action
Jathara,7.8,1100,129.0,Action
Mutant,4.5,59,90.0,Action
High Forces,5.7,530,119.0,Action
Bonus Trip,4.6,227,113.0,Action
Formed Police Unit,4.6,478,120.0,Action
Sous écrous,5.4,35,111.0,Action
Tokusou Sentai Dekaranger 20th: Fireball Booster,7.0,33,50.0,Action
The Infallibles,4.8,754,99.0,Action
Dange,5.3,794,154.0,Action
Transformers Prime: Galavatron's Revenge,3.7,9,104.0,Action
Raju Gari Ammayi Naidu Gari Abbayi,8.2,3100,158.0,Action
Kill Craft,2.4,365,99.0,Action
24 Hours to D-Day,4.8,37,83.0,Action
Rebel,3.1,65,100.0,Action
Thundu,5.0,906,125.0,Action
The Grey Men,6.4,71,97.0,Action
Marni: The Story of Wewe Gombel,5.9,213,119.0,Action
The Wild Blade of Strangers,6.2,113,102.0,Action
Oru Anveshanathinte Thudakkam,7.1,830,181.0,Action
Black Storm,6.6,64,97.0,Action
Dragon Ball Z Kai,8.5,71,82.0,Action
Bhairadevi,8.7,49,134.0,Action
The Miranda Brothers,4.4,190,99.0,Action
Ape X Mecha Ape: New World Order,2.8,135,87.0,Action
Jithender Reddy,7.5,2400,136.0,Action
Kali,5.1,418,96.0,Action
Shekko,6.0,564,120.0,Action
In Tenebras: Into the Darkness,3.3,174,90.0,Action
Indrani: Epic-1 Dharam vs Karam,7.6,1100,157.0,Action
Dreams,7.6,8,106.0,Action
Karma,4.3,18,111.0,Action
Sector 17,5.5,1300,146.0,Action
Gam Gam Ganesha,5.3,310,140.0,Action
Serra das Almas,6.1,12,120.0,Action
Devaki Nandana Vasudeva,6.5,2700,128.0,Action
Desperado,5.9,144,100.0,Action
Athhoi,8.0,134,158.0,Action
Kadakan,4.0,113,128.0,Action
Gold Raiders,2.0,183,88.0,Action
Soodhu Kavvum 2: Naatum Naatu Makkalum,3.7,202,129.0,Action
Bandaa Singh Chaudhary,6.3,5200,113.0,Action
Texas Twister,2.5,158,88.0,Action
Captain Avispa,5.8,177,96.0,Action
Kamen Rider 555 20th: Paradise Regained,5.9,142,65.0,Action
Death Game,6.3,24,88.0,Action
Honeko Akabane's Bodyguards,5.9,41,117.0,Action
Saint Young Men: Holy Men vs Demon Army,3.0,13,93.0,Action
Bond of Justice: Kizuna Part I - Encounter,6.2,18,92.0,Action
Hell City,9.1,27,90.0,Action
Next to Us,4.8,223,125.0,Action
The Vampire and the Vigilante,3.6,51,75.0,Action
Rang De Basanti,8.8,145,174.0,Action
Polar,4.4,29,76.0,Action
Love You as the World Ends Final,6.3,38,115.0,Action
The Alexandrian,3.8,254,104.0,Action
Shadows of Betrayal: Chronicles of Ian Blair,7.3,12,65.0,Action
Hiranya,5.6,20,138.0,Action
London Gangsters,4.3,11,104.0,Action
Too Little Too Late,5.5,8,66.0,Action
Lisabi: The Uprising,6.1,125,107.0,Action
Uninvited,6.5,77,93.0,Action
Türkler Çildirmis Olmali 2: Mavi Vatan,2.2,158,100.0,Action
Fuuto PI: Portrait of Kamen Rider Skull,7.5,42,82.0,Action
Dark Fusion,8.5,235,90.0,Action
Neon Fear,5.8,553,40.0,Action
Reloaded 2,7.7,1100,45.0,Action
The Evil Three,6.7,993,30.0,Action
Sumaho o otoshita dake na no ni: Saishusho Final Hacking Game,6.9,22,116.0,Action
Hrashwo Deergha,8.0,82,150.0,Action
The Slave and the Sorcerer,6.7,40,86.0,Action
Revenge,1.7,42,127.0,Action
Gone with the Dead,4.4,47,96.0,Action
Anchakkallakokkan,6.6,1000,126.0,Action
Megdan: Between Water and Fire,5.4,724,106.0,Action
Chasing Raine,2.3,187,101.0,Action
Pottel,8.2,2700,148.0,Action
Marine Drive,9.5,50,105.0,Action
Exorcism Chronicles: The Beginning,7.1,99,85.0,Action
Weapon,5.5,5500,120.0,Action
Tariq,6.2,18,122.0,Action
Sentimentaaal,5.7,977,135.0,Action
What Happens in Miami,4.3,220,90.0,Action
Mechanic Rocky,6.5,3500,156.0,Action
Dünya Mali: Eksi Bir,7.2,17,133.0,Action
Saala,5.7,1100,130.0,Action
Viswam,4.2,644,155.0,Action
Deadzone,4.1,35,80.0,Action
Stranded Pearl,6.0,27,90.0,Action
Bhimaa,5.1,1200,141.0,Action
Bloodline,9.2,49,80.0,Action
Pranaya Godari,7.8,2400,148.0,Action
Witch Hunter,5.3,24,80.0,Action
Sacrum Vindictae II,4.5,13,114.0,Action
Permafrost,5.7,115,80.0,Action
South Side Hero,5.4,36,92.0,Action
Yakuza Girl,2.3,66,82.0,Action
Genis Aile 4: Cevahir & Ulvi,7.0,54,90.0,Action
Lie Zhan,6.9,66,93.0,Action
Gravediggers,6.4,29,91.0,Action
Brattt,4.7,67,117.0,Action
Second Life,6.7,49,105.0,Action
Komandir,6.4,522,131.0,Action
Spider-Man: Final Swing,8.4,10,153.0,Action
Purushothamudu,7.4,13,120.0,Action
Major Grom: The Game,6.1,1800,168.0,Action
The Captives,3.5,66,73.0,Action
Kuang Bao Ju Xi,6.0,71,75.0,Action
Wonderful Precure! The Movie! Doki Doki Game no Sekai de Daiboken,7.0,35,71.0,Action
Kamen Rider Gotchard: The Future Daybreak,7.9,71,63.0,Action
Cholo Zombies,4.6,103,96.0,Action
Average Student Nani,7.5,2200,138.0,Action
Rob N Roll,6.1,1500,98.0,Action
Usha Parinayam,9.0,2100,144.0,Action
Itutumba ka ng tatay ko,5.5,30,109.0,Action
Rathnam,5.4,3700,155.0,Action
Emanet,7.9,31,97.0,Action
Bheema,5.8,953,148.0,Action
Petta Rap,4.0,1700,123.0,Action
Pariah Volume 1: Every Street Dog Has a Name,6.9,388,138.0,Action
Dark World,4.6,15,135.0,Action
The Burden of Nine Lives,4.7,101,116.0,Action
Pushpaka Vimanam,5.6,16,137.0,Action
The Worlds Divide,8.1,39,120.0,Action
Mega Twister,2.5,52,75.0,Action
Dhaaak,8.6,24,128.0,Action
Zénithal,5.5,84,80.0,Action
"Bullets, Brothers and Blood",7.8,15,85.0,Action
September Babies,5.8,289,94.0,Action
Death Bitch,7.2,20,88.0,Action
The Yoshi Movie,7.7,12,105.0,Action
Angel of the Warrior,8.5,134,90.0,Action
Kamen Rider Geats: Jyamato Awaking,7.9,75,54.0,Action
Aho Vikramaarka,7.4,54,136.0,Action
Villain - Life of a Gangster,8.9,156,141.0,Action
Warning 2,7.1,887,125.0,Action
Holy Punch,5.2,48,98.0,Action
Iddaru,8.8,297,148.0,Action
Ultraman Blazar the Movie: Tokyo Kaiju Showdown,7.5,86,75.0,Action
The Escapee 3: The Final Escape,2.6,64,83.0,Action
Pungut,6.7,11,100.0,Action
Hain,2.9,45,95.0,Action
Rode College,6.6,429,168.0,Action
Roxana,3.8,66,98.0,Action
Neo-Dome,6.7,17,15.0,Action
Artist Unknown,8.7,17,82.0,Action
Naa Saami Ranga,4.5,1200,150.0,Action
GATAO: Like Father Like Son,6.8,70,100.0,Action
Inanimate Insanity II: The Movie,8.4,231,106.0,Action
Rocky and Bullwinkle,9.2,13,100.0,Action
Crypto Storm,4.8,34,101.0,Action
Raktaksha,8.2,1400,118.0,Action
Raanti,6.6,1100,115.0,Action
Election,5.9,809,120.0,Action
Chaari 111,4.8,258,130.0,Action
Hakkenden,5.8,75,149.0,Action
Dr. Jason II - Lights & Shadows,4.9,329,62.0,Action
Played,6.2,11,96.0,Action
Naag Bhoomi,5.7,8,130.0,Action
Thankamani,4.6,229,156.0,Action
Breaking Tradition,6.9,26,87.0,Action
Thiragabadara Saami,6.4,96,115.0,Action
Abudeka Is Back,5.3,34,120.0,Action
Abnormal: Buas,5.6,26,90.0,Action
Krishnamma,6.2,366,138.0,Action
"Silex and the City, le film",4.9,50,77.0,Action
Slide or Die the Movie,9.2,8,127.0,Action
Appu,8.6,181,92.0,Action
Hide and Seek,8.0,55,130.0,Action
Killer Ex,3.9,52,94.0,Action
Nenu Keerthana,8.9,2100,155.0,Action
Haraa,5.4,2900,136.0,Action
Mother Mafia,3.2,51,80.0,Action
Shri Swapankumarer Badami Hyenar Kobole,5.6,324,146.0,Action
Anthima Theerpu,7.0,1500,133.0,Action
Charlotte Link - Ohne Schuld,5.5,41,89.0,Action
Sarangadhariya,8.4,3100,150.0,Action
Blocking the Horse,5.8,14,94.0,Action
Nothing Unusual,9.7,12,92.0,Action
The Mystery of Humanoid Puppet,6.7,61,88.0,Action
Mobile Suit Gundam: Silver Phantom,6.1,13,90.0,Action
Nasha Jurm Aur Gangsters,6.6,2600,137.0,Action
The SML YTP Movie 2: Dimension Trouble,8.3,13,94.0,Action
Happy Dragons,4.9,9,97.0,Action
Surge of Power: Where There's Smoke,6.5,13,68.0,Action
Joshua: Imai Pol Kaka,4.5,587,130.0,Action
Ajay Gadu,7.1,1000,108.0,Action
Di Renjie: Tongtian xuan an,7.2,16,85.0,Action
Rock 'n' Roll Ringo,6.3,54,101.0,Action
Reeza GTR,7.4,14,91.0,Action
Snowstorm,4.5,6,91.0,Action
Cândido,6.3,61,99.0,Action
Chhota Bheem and the Curse of Damyaan,4.8,2300,145.0,Action
Fights Break Sphere 3,4.7,8,81.0,Action
Supplier Shankara,9.3,71,163.0,Action
Shockwaves 2,2.8,148,79.0,Action
Wilhelm Gustloff,8.7,8,110.0,Action
Chinatown Chacha,5.1,56,103.0,Action
Surrender,7.8,15,149.0,Action
Bullet,9.0,569,131.0,Action
E-mail,5.4,805,119.0,Action
Kill the Children first,7.8,26,106.0,Action
Inkabi,4.7,79,101.0,Action
Joy Hanu Man,8.9,25,143.0,Action
The Bodyguard,6.6,30,87.0,Action
Bloodlust,8.2,11,97.0,Action
Lorry Chapter-1,5.7,2400,183.0,Action
Joachim and the Apocalypse,7.2,13,90.0,Action
Operation Star,7.7,24,102.0,Action
El Duro,5.1,15,90.0,Action
Mercy Killing,8.7,2700,131.0,Action
Dangerous Boys 2,5.1,9,115.0,Action
Be Forever Yamato: Rebel 3199: Part 1: Dark Invasion,7.0,9,50.0,Action
Operation Wakaliga: Fate and Blood,6.7,11,66.0,Action
Zoloto Umalty,4.9,109,109.0,Action
Yao Shen Ling,6.7,66,93.0,Action
Ugravatara,7.9,552,122.0,Action
Hope & Glory,6.6,145,44.0,Action
Kiyma: Orman Kanunlari,4.5,36,81.0,Action
Jigar,7.1,18,122.0,Action
Jurassic Exorcist,3.8,23,76.0,Action
The Dragon's Tomb,6.8,52,77.0,Action
Codename: Devil,5.4,5,104.0,Action
Zhi Bao,5.7,17,100.0,Action
Halloween: Mal Eterno,8.2,224,50.0,Action
Kreem,6.8,128,115.0,Action
Opportunity,8.9,91,96.0,Action
Kohinoor,8.1,22,119.0,Action
Vey Dharuvey,6.4,2300,127.0,Action
Mirg,6.1,36,83.0,Action
The Very Last Christmas,8.5,12,75.0,Action
Sith Wars: Episódio III - Fantasmas Dos Sith,8.6,114,99.0,Action
Inherited,9.5,21,76.0,Action
The Drunken Prodigy,5.7,16,107.0,Action
The Delegator,4.2,17,96.0,Action
Skhvatka,5.2,23,107.0,Action
Inexternal,3.2,19,83.0,Action
The Journey of Flower,3.9,26,97.0,Action
The Correct Way of Youth,9.3,782,90.0,Action
Achilles Curse and the Curse of Treasure,7.4,25,125.0,Action
Hocus Focus,7.9,19,85.0,Action
Dhil Raja,8.7,136,106.0,Action
Raja 420,6.1,21,81.0,Action
The Bottom Line,6.5,12,107.0,Action
Ohsama Sentai King-Ohger vs. Donbrothers,6.8,37,26.0,Action
Combat Code: Hunt,7.4,17,76.0,Action
Big Brother,8.5,2000,115.0,Action
Kaveri,6.5,1500,101.0,Action
Common Creed: Trafficking,6.7,8,106.0,Action
Give Me Babies,6.7,6,23.0,Action
Agent 86,6.7,6,87.0,Action
Gull Lake Vice II: The Delusion Continues,8.2,16,58.0,Action
Usire Usire,7.5,1100,151.0,Action
Janna Endoro,8.1,15,120.0,Action
Dead Hand,4.1,75,92.0,Action
Firework,6.2,13,60.0,Action
Day of the Diesels,7.7,10,100.0,Action
Kaale Angrej,5.5,17,131.0,Action
Break War,2.4,15,86.0,Action
Klaantha,6.2,518,107.0,Action
Mavr,7.5,6,83.0,Action
Premalo,7.3,1100,128.0,Action
Dheera,7.9,1300,123.0,Action
Mr. Natwarlal,7.6,779,130.0,Action
Me and the Dragon's Daughter,5.2,10,75.0,Action
Heavens: The Boy and His Robot,6.3,22,98.0,Action
Max Beyond,6.6,17,93.0,Action
Gally Gang Stars,9.0,2000,157.0,Action
Rudra: The Beginning,9.4,38,135.0,Action
Seetha Kalyana Vaibhogame,8.6,2000,146.0,Action
Rooban,6.5,281,125.0,Action
Sathyam,7.3,8,134.0,Action
Vorovka,4.8,51,90.0,Action
Death Game,5.2,14,87.0,Action
Kade,6.7,16,92.0,Action
Atu Nuvve Itu Nuvve,6.5,12,123.0,Action
Lolipop Gang,3.6,6,90.0,Action
Useful Idiots,8.3,19,92.0,Action
The Deal,8.5,26,130.0,Action
Re Xue Ran Shao,4.2,18,113.0,Action
Opasni shmatki,5.3,30,92.0,Action
Vi possiamo salvare,2.7,103,89.0,Action
Seven Heroes Beat the Monster,6.8,51,89.0,Action
Jiwa 8 Belas,5.0,19,86.0,Action
Gintama the Movie 2D: Courtesan of the Nation Arc,7.8,6,109.0,Action
Riddle of the Shadow Lotus,6.3,53,92.0,Action
AK47,7.2,14,146.0,Action
Battling to Survive,7.0,53,74.0,Action
Guxim,7.7,34,75.0,Action
Leha,2.3,42,98.0,Action
Guns Blazin,7.1,9,88.0,Action
The ShortCut,7.7,1800,138.0,Action
SMB-plush presents trick or death,8.8,16,120.0,Action
La Tamalera,8.2,9,115.0,Action
Roudhra Rupaya,7.6,2000,132.0,Action
Dirty Fellow,6.9,3800,119.0,Action
Dheera Bhagat Roy,8.6,1100,150.0,Action
Tranquility: Ghost Stories,7.6,53,88.0,Action
Blood Vendetta,7.7,236,90.0,Action
The Winter Prophecy,7.9,13,52.0,Action
Three Old Captors,7.0,50,94.0,Action
Oversteer,5.2,19,86.0,Action
A Reel Heist,5.2,58,116.0,Action
StarGazer: The Need of the Many,5.0,9,47.0,Action
No Man Standing,8.6,11,93.0,Action
Kallu Compound 1995,8.0,2000,140.0,Action
Yentha Panichesav Chanti,9.5,85,135.0,Action
Urban Vengeance,5.2,11,79.0,Action
Travesty,6.4,5,78.0,Action
Kyle and the Last Emerald 2,8.4,7,15.0,Action
Krapiva: Tsvetok smerti,6.1,56,81.0,Action
Best Cop Ever,4.3,49,122.0,Action
Daanvi,1.7,7,117.0,Action
The Mirage,8.9,10,106.0,Action
War with the Evil,6.3,52,85.0,Action
Passazhiry,4.5,32,80.0,Action
The Domino File,4.7,7,102.0,Action
Cholay,8.6,56,60.0,Action
Isle: Alpha One,8.4,7,97.0,Action
Out of the Shadow,6.5,6,89.0,Action
"La Protegida, La Película",9.3,16,67.0,Action
Pithala Maathi,7.6,848,140.0,Action
Bad Ass Sista,6.9,8,80.0,Action
PW V: Tears of the Fallen,8.2,11,60.0,Action
Full Clip for a Snitch,3.9,18,75.0,Action
S-99,8.7,2100,119.0,Action
El Junior Del Patron,7.4,10,92.0,Action
Xiao zi,3.5,12,101.0,Action
Drunken Swordsman,6.7,50,91.0,Action
Sehnsucht nach Firdaws,8.5,6,103.0,Action
Los Hijos De Camelia y Emilio,6.4,27,82.0,Action
Sesh Bazi,6.2,10,132.0,Action
The End of Hen,9.8,10,67.0,Action
Po du xing dong,6.8,5,79.0,Action
Speed Fight,6.8,52,87.0,Action
The Overseas Killer,6.4,52,104.0,Action
The Kills,8.8,9,70.0,Action
Jimmy's Friends,7.0,11,94.0,Action
El Cartel De Teresa,8.0,9,96.0,Action
The Vent,8.9,14,3.0,Action
Kyle and the Last Emerald,5.5,18,20.0,Action
Captain Superb and the Angel of Destiny,3.3,14,120.0,Action
Faster: Only one lap,7.1,23,90.0,Action
Mahserin Üç Delisi,5.9,16,78.0,Action
Lealtad o Morir,8.2,9,87.0,Action
Siete Vidas - El Levanton,9.6,5,45.0,Action
Las Hermanas Del Cartel,8.2,5,91.0,Action
Piri Reis: The Incredible Chart,6.9,22,138.0,Action
Duelo De Capos,6.3,27,83.0,Action
Luna de Hiel,5.8,19,83.0,Action
Bring Back the Colour,5.9,7,47.0,Action
Spider-Man: Dimension Rift,8.4,13,127.0,Action
Zen Fist,7.2,8,45.0,Action
Killer Lee,1.9,9,87.0,Action
Mandya Haida,6.2,236,139.0,Action
Anger,8.8,18,83.0,Action
Gadha17,8.0,11,90.0,Action
Runnin' from Wolves,7.2,10,133.0,Action
Bush Knife,7.0,7,90.0,Action
Whispers of the Imperial City,6.8,53,90.0,Action
Jefa De Jefas,8.2,9,82.0,Action
Mufasa: The Lion King,6.6,63000,118.0,Animation
Moana 2,6.6,102000,100.0,Animation
Flow,7.9,74000,85.0,Animation
Paddington in Peru,6.7,21000,106.0,Animation
The Wild Robot,8.2,163000,102.0,Animation
Transformers One,7.6,50000,104.0,Animation
Despicable Me 4,6.2,65000,94.0,Animation
The Day the Earth Blew Up: A Looney Tunes Movie,7.0,4200,91.0,Animation
Inside Out 2,7.5,216000,96.0,Animation
The Lord of the Rings: The War of the Rohirrim,6.3,30000,134.0,Animation
IF,6.4,58000,104.0,Animation
Solo Leveling: ReAwakening,8.7,12000,121.0,Animation
Kung Fu Panda 4,6.3,68000,94.0,Animation
Memoir of a Snail,7.8,17000,95.0,Animation
The Garfield Movie,5.7,24000,101.0,Animation
Harold and the Purple Crayon,5.7,8300,90.0,Animation
Attack on Titan the Movie: The Last Attack,9.2,16000,145.0,Animation
Watchmen: Chapter I,7.0,6600,83.0,Animation
Wallace & Gromit: Vengeance Most Fowl,7.5,34000,82.0,Animation
Spellbound,5.5,7400,109.0,Animation
Night of the Zoopocalypse,6.0,651,91.0,Animation
Spermageddon,5.8,811,80.0,Animation
Look Back,7.8,15000,58.0,Animation
Hitpig,5.1,940,86.0,Animation
Piece by Piece,6.9,5400,93.0,Animation
Watchmen: Chapter II,7.0,3100,90.0,Animation
Thelma the Unicorn,5.7,2900,93.0,Animation
Buffalo Kids,6.6,692,93.0,Animation
The Most Precious of Cargoes,7.1,977,81.0,Animation
Megamind vs. The Doom Syndicate,2.5,5600,83.0,Animation
Orion and the Dark,6.3,17000,93.0,Animation
The Remarkable Life of Ibelin,8.2,12000,103.0,Animation
Justice League: Crisis on Infinite Earths - Part One,6.2,8500,93.0,Animation
Justice League: Crisis on Infinite Earths - Part Three,6.1,4500,94.0,Animation
My Hero Academia: You're Next,7.0,2100,110.0,Animation
That Christmas,6.8,17000,91.0,Animation
Ultraman: Rising,6.9,6400,117.0,Animation
Demon Slayer: Kimetsu No Yaiba - To the Hashira Training,7.1,8500,104.0,Animation
The Glassworker,7.3,1700,98.0,Animation
Dan Da Dan: First Encounter,8.2,2700,83.0,Animation
Woody Woodpecker Goes to Camp,4.5,2600,100.0,Animation
Grand Theft Hamlet,6.9,1900,89.0,Animation
Saving Bikini Bottom: The Sandy Cheeks Movie,3.7,3900,82.0,Animation
10 Lives,5.9,1900,88.0,Animation
Doraemon the Movie: Nobita's Earth Symphony,6.6,1500,115.0,Animation
Dragonkeeper,5.7,1700,98.0,Animation
Limonov: The Ballad of Eddie,6.0,796,138.0,Animation
The Colors Within,7.1,968,101.0,Animation
Mars,7.9,23,84.0,Animation
Justice League: Crisis on Infinite Earths - Part Two,5.5,5300,94.0,Animation
200% Wolf,5.9,1300,98.0,Animation
Johnny Puff: Secret Mission,4.8,452,87.0,Animation
Bloody Escape: Bats out of Hell,5.6,48,100.0,Animation
The Tiger's Apprentice,5.7,2200,84.0,Animation
Overlord: The Sacred Kingdom,6.9,985,135.0,Animation
Haikyu!! The Dumpster Battle,7.7,6200,85.0,Animation
Panda Bear in Africa,5.5,347,84.0,Animation
Crayon Shin-chan: Ora's Dinosaur Diary,6.4,355,106.0,Animation
Blue Lock: Episode Nagi,6.6,2500,91.0,Animation
Super-Charlie,5.8,122,80.0,Animation
A Sloth Story,5.6,206,90.0,Animation
Lesbian Space Princess,7.2,137,87.0,Animation
Rebellious,6.0,195,94.0,Animation
Ryan's World the Movie: Titan Universe Adventure,1.8,693,80.0,Animation
The Night Before Christmas in Wonderland,6.3,517,80.0,Animation
Given 3: To the Sea,8.9,62,80.0,Animation
Elli and the Ghostly Ghost Train,5.1,101,86.0,Animation
Re: Zero - Starting Life in Another World- Season 3 Episode 1 90-minute Special 'Theatrical Malice',8.8,1200,90.0,Animation
Frida,7.5,1500,87.0,Animation
Sanatorium Under the Sign of the Hourglass,5.4,117,75.0,Animation
Noah's Ark,4.3,662,96.0,Animation
Savages,6.8,341,87.0,Animation
Dongeng Sang Kancil,6.7,173,99.0,Animation
Gracie and Pedro: Pets to the Rescue,5.1,276,87.0,Animation
The Quintessential Quintuplets Specials 2,7.0,129,46.0,Animation
Mononoke the Movie: The Phantom in the Rain,6.8,1200,89.0,Animation
Big City Greens the Movie: Spacecation,6.2,543,83.0,Animation
White Snake: Afloat,6.9,476,133.0,Animation
Living Large,7.0,123,80.0,Animation
No Time to Spy: A Loud House Movie,6.4,449,81.0,Animation
Movie Given Hiiragi Mix.,7.5,175,70.0,Animation
Kvitebjørn,5.9,62,85.0,Animation
Dalia y el Libro Rojo,6.5,91,107.0,Animation
Bocchi the Rock! Recap Part 1,7.6,163,90.0,Animation
Fureru,6.2,36,107.0,Animation
Detective Conan: The Million-Dollar Pentagram,6.7,1500,111.0,Animation
"Die Heinzels: Neue Mützen, Neue Mission",6.4,91,76.0,Animation
My Freaky Family,6.3,406,86.0,Animation
Ghost Cat Anzu,6.5,769,97.0,Animation
Out of the Nest,6.5,111,84.0,Animation
From Ground Zero,7.9,535,112.0,Animation
My Oni Girl,6.0,1700,112.0,Animation
"Maya, donne-moi un titre",6.4,54,61.0,Animation
Rafadan Tayfa: Kapadokya,6.6,119,84.0,Animation
SuperKlaus,4.3,203,88.0,Animation
Mobile Suit Gundam SEED Freedom,6.6,953,124.0,Animation
Diplodocus,6.3,177,90.0,Animation
Baki Hanma VS Kengan Ashura,5.7,1900,62.0,Animation
Hola Frida,7.1,30,82.0,Animation
Kizumonogatari: Koyomi Vamp,7.0,89,144.0,Animation
Si Juki the Movie: Harta Pulau Monyet,6.0,118,107.0,Animation
Storm Crashers,6.2,563,88.0,Animation
Boys Go to Jupiter,6.9,96,90.0,Animation
The Casagrandes Movie,5.6,667,89.0,Animation
Sabbath Queen,8.0,65,105.0,Animation
STEVE (A Minecraft Movie),6.9,12,61.0,Animation
Fox & Hare Save the Forest,5.9,203,71.0,Animation
The Proud Princess,6.7,113,84.0,Animation
Abá e Sua Banda,7.0,9,84.0,Animation
Angelo dans la forêt mystérieuse,6.0,125,81.0,Animation
Shrek 5: The Contract - A Fan Made Film,7.0,19,84.0,Animation
Jon Vardar protiv Galaksijata,8.1,75,86.0,Animation
The Lost Tiger,7.9,45,90.0,Animation
Bocchi the Rock! Re: Re:,7.9,103,77.0,Animation
Nintama Rantaro Dokutake Ninja-tai Saikyou no Gunshi,6.9,21,90.0,Animation
(S)KiDS,9.7,101,85.0,Animation
TWST: Things We Said Today,7.0,46,86.0,Animation
Peppa's Cinema Party,5.0,155,65.0,Animation
God with Three Eyes,6.1,14,112.0,Animation
Olivia & the Clouds,7.2,52,81.0,Animation
I Am What I Am 2,7.5,206,134.0,Animation
The Big Trip 3: Race Around the World,5.6,59,85.0,Animation
Zak & Wowo: The Legend of Lendarys,5.7,96,85.0,Animation
Transformers Prime: Galavatron's Revenge,3.7,9,104.0,Animation
Niko: Beyond the Northern Lights,6.2,333,86.0,Animation
Tobias and the Arcane Merchant,9.0,43,167.0,Animation
Schirkoa: In Lies We Trust,5.6,158,103.0,Animation
Dragon Ball Z Kai,8.5,71,82.0,Animation
Trapezium,6.3,151,102.0,Animation
Little Emma,5.9,114,106.0,Animation
Dead Dead Demon's Dededede Destruction,7.0,145,120.0,Animation
Uma Musume: Pretty Derby - Beginning of a New Era,7.3,121,108.0,Animation
Askepote,3.5,83,72.0,Animation
Captain Avispa,5.8,177,96.0,Animation
Yumi's Cells: The Movie,6.2,49,93.0,Animation
Mariposas Negras,7.2,53,83.0,Animation
Woolina and the No Birds,8.2,47,80.0,Animation
The Storm,6.0,139,102.0,Animation
Fuuto PI: Portrait of Kamen Rider Skull,7.5,42,82.0,Animation
Exorcism Chronicles: The Beginning,7.1,99,85.0,Animation
Mustafa,6.9,72,75.0,Animation
Boonie Bears: Time Twist,6.0,167,105.0,Animation
Rock Bottom,6.9,43,86.0,Animation
The Umbrella Fairy,5.5,54,95.0,Animation
Il segreto di Liberato,7.3,218,90.0,Animation
Tri kota. Zimnie kanikuly,6.5,31,65.0,Animation
Wonderful Precure! The Movie! Doki Doki Game no Sekai de Daiboken,7.0,35,71.0,Animation
Masha i Medved v kino: Park chudes,7.6,17,58.0,Animation
Slocum et moi,7.3,73,75.0,Animation
Dikkie Dik 2: Een Nieuwe Vriend voor Dikkie Dik,7.4,72,70.0,Animation
Quo Vadis,6.6,508,90.0,Animation
The Formula for Water,4.5,31,86.0,Animation
The Worlds Divide,8.1,39,120.0,Animation
Benjamin Bat,7.9,30,75.0,Animation
Transformers: 40th Anniversary Event,7.3,29,96.0,Animation
